я╗┐Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
100;Установка видеоняни EZVIZ для наблюдения за детьми с функцией обнаружения плача;Встановлення відеоняні EZVIZ для нагляду за дітьми з функцією виявлення плачу;;
101;Установка видеонаблюдения Dahua за домом;Встановлення відеоспостереження Dahua за будинком;;
102;Монтаж видеонаблюдения Hikvision в офисе;Монтаж відеонагляду Hikvision в офісі;;
103;Установка видеонаблюдения в магазине с контролем кассовых операций;Встановлення відеоспостереження в магазині з контролем касових операцій;;
104;Установка видеонаблюдения на автостоянке;Встановлення відеоспостереження на автостоянці;;
105;Установка IP-видеонаблюдения в супермаркете;Встановлення IP-відеоспостереження в супермаркеті;;
106;Установка wi-fi видеонаблюдения;Установка wi-fi відеоспостереження;;
107;Установка системы распознавания автомобильных номеров;Встановлення системи розпізнавання автомобільних номерів;;
108;Установка видеонаблюдения на предприятии;Встановлення відеоспостереження на підприємстві;;
109;Установка тепловизора Hikvision для обнаружения лиц с повышенной температурой;Встановлення тепловізора Hikvision для виявлення осіб з підвищеною температурою;;
110;Установка видеосистемы подсчёта людей;Встановлення відеосистеми підрахунку людей;;
111;Установка IP-видеокамеры Dahua с функцией записи в подъезде;Встановлення IP-відеокамери Dahua з функцією запису в під'їзді;;
201;Изготовление ключа для домофона;Виготовлення ключів для домофону;;
202;Установка видеодомофона;Установка відеодомофону;;
203;Установка комплекта видеодомофона ARNY AVD-7006;Встановлення комплекту відеодомофона ARNY AVD-7006;;
204;Установка  видеодомофона ARNY;Встановлення  відеодомофона ARNY;;
205;Монтаж комплекта видеодомофона NeoLight ALPHA Hybrid HD KIT SD 128Gb;Монтаж комплекту відеодомофона NeoLight ALPHA Hybrid HD KIT SD 128Gb;;
206;Установка домофона Neolight HD с записью по движению;Установка домофону Neolight HD із записом за рухом;;
207;Установка комплекта видеодомофона NeoLight Mezzo HD WF и Prime FHD SD 128Gb;Встановлення комплекту відеодомофона NeoLight Mezzo HD WF та Prime FHD 128Gb;;
208;Установка ip домофона Dahua DHI-VTH5341G-W та DHI-VTO2311R-WP;Установка ip домофону Dahua DHI-VTH5341G-W та DHI-VTO2311R-WP;;
209;Установка ip домофона Hikvision DS-KH6350-TE1 та DS-KV6103-PE1C;Установка ip домофону Hikvision DS-KH6350-TE1 та DS-KV6103-PE1C;;
301;Установка сигнализации Лунь в доме;Установка сигналізації Лунь у будинку;;
302;Установка системы охраны периметра Tecsar Alert;Встановлення системи охорони периметра Tecsar Alert;;
303;Установка сигнализации Лунь в квартире;Установка сигналізації Лунь у квартирі;;
304;"Установка сигнализации Ajax в квартире,  доме, офисе";"Установка сигналізації Ajax у квартирі, будинку, офісі";;
305;Установка сигнализации Ajax на даче;Установка сигналізації Ajax на дачі;;
306;Установка пожарной сигнализации Тірас;Встановлення пожежної сигналізації Тірас;;
307;Установка сигнализации Ajax со сценариями автоматизации;Установка сигналізації Ajax зі сценаріями автоматизації;;
401;Установка систем контроля доступа Seven с электромеханическим замком Atis;Встановлення систем контролю доступу Seven з електромеханічним замком Atis;;
402;Установка контроля доступа Seven c домофоном ARNY и  электромагнитным замком;Встановлення контролю доступу Seven з домофоном ARNY і електромагнітним замком;;
403;Установка системы учета рабочего времени U-Prox на 2 точки прохода (400 сотрудников);Встановлення системи обліку робочого часу U-Prox на 2 точки проходу (400 співробітників);;
404;Установка системы учета рабочего времени на 1 точку прохода (80 сотрудников);Встановлення системи обліку робочого часу на 1 точку проходу (80 співробітників);;
501;Акустическая подготовка помещения;Акустична підготовка приміщення;;
502;Фоновое озвучивание помещения 110 кв.м;Фонове озвучування приміщення 110 кв.м;;
503;Установка домашнего кинотеатра;Встановлення домашнього кінотеатру;;
504;Зональная фоновая озвучка помещения площадью 145 кв.м;Зональне фонове озвучування приміщення площею 145 кв.м.;;
505;Звукоизоляция помещений;Звукоізоляція приміщень;;
506;Установка системы мультирум Lara Radio;Установка системи мультирум Lara Radio;;
601;Установка спутниковой антенны для спутников Astra и Hot Bird;Встановлення супутникової антени для супутників Astra та Hot Bird;;
602;Установка наружной антенны для  приема т2 сигнала;Встановлення зовнішньої антени для прийому т2 сигналу;;
701;Монтаж СКС до 10 рабочих мест;Монтаж СКС до 10 робочих місць;;
702;Монтаж СКС до 40 рабочих мест;Монтаж СКС до 40 робочих місць;;
703;Монтаж СКС до 100 рабочих мест;Монтаж СКС до 100 робочих місць;;
704;Монтаж компьютерной сети до 16 рабочих мест;Монтаж комп'ютерної мережі до 16 робочих місць;;
705;Монтаж компьютерной сети до 40 рабочих мест;Монтаж комп'ютерної мережі до 40 робочих місць;;
801;Ремонт домофонов;Ремонт домофонів;;
802;Ремонт видеонаблюдения;Ремонт відеоспостереження;;
803;Ремонт систем контроля доступа;Ремонт систем контролю доступу;;
804;Ремонт антенн т2;Ремонт антен т2;;
805;Ремонт охранной сигнализации;Ремонт охоронної сигналізації;;
806;Ремонт спутниковых антенн;Ремонт супутникових антен;;
807;"Ремонт, прошивка тюнеров, смарт-приставок android";"Ремонт, прошивка тюнерів, смарт-приставок android";;
901;Установка системы Умный дом Metaforsa-3;Встановлення системи Розумний будинок Metaforsa-3;;
902;Установка системы Умный дом в офис;Установка системи Розумний будинок в офіс;;
903;Проектирование и монтаж системы Умный дом для коттеджа;Проектування та монтаж системи Розумний будинок для котеджу;;
904;Монтаж системы Умный дом для магазина;Монтаж системи  Розумний дім  для магазину;;
905;Проектирование и установка  системы Умный дом в доме;Проектування та встановлення системи Розумний будинок у будинку;;
906;Проектирование и установка  системы Умный дом в жилом комплексе;Проектування та встановлення системи Розумний будинок у житловому комплексі;;
