Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
5280501;;;Тип акумулятора;AGM
5280501;;;Тип акумулятора;Alkaline
5280501;;;Тип акумулятора;Carbon-Zinc
5280501;;;Тип акумулятора;GEL
5280501;;;Тип акумулятора;LiFePO4
5280501;;;Тип акумулятора;LiHV
5280501;;;Тип акумулятора;Li-Ion
5280501;;;Тип акумулятора;LiND
5280501;;;Тип акумулятора;Li-NMC
5280501;;;Тип акумулятора;Li-Pol
5280501;;;Тип акумулятора;LSD NiMH
5280501;;;Тип акумулятора;Ni-Cd
5280501;;;Тип акумулятора;Ni-MH
5280501;;;Тип акумулятора;OPzS
5280501;;;Тип акумулятора;OPzV
5280501;;;Тип акумулятора;Silver Oxide
5280501;;;Тип акумулятора;Zinc Air
5280501;;;Тип акумулятора;Гироаккумулятор
5280501;;;Тип акумулятора;Свинцево-кислотні (SLA)
5280501;;;Ємність акумулятору (А·г);Введіть число. Число повинно бути від 0 до 1000000
5280501;;;Напрацювання (циклів заряду);Введіть число. Число повинно бути від 0 до 10000
;;;Тип струмовивіду;DT
;;;Тип струмовивіду;F12 (M8)
;;;Тип струмовивіду;F18
;;;Тип струмовивіду;F2
;;;Тип струмовивіду;F6
;;;Тип струмовивіду;F8
;;;Тип струмовивіду;T1
;;;Тип струмовивіду;T12
;;;Тип струмовивіду;T2
;;;Тип струмовивіду;T3
;;;Тип струмовивіду;T6
;;;Тип струмовивіду;T8
;;;Тип струмовивіду;Y10
;;;Тип струмовивіду;Y11
;;;Тип струмовивіду;Y12
;;;Тип струмовивіду;Y2
;;;Тип струмовивіду;Y3
;;;Тип струмовивіду;Y4
;;;Тип струмовивіду;Y5
;;;Тип струмовивіду;Y6
;;;Тип струмовивіду;Y7
;;;Тип струмовивіду;Y8
;;;Тип струмовивіду;Бічні
;;;Тип струмовивіду;Бічні/верхні
;;;Тип струмовивіду;Кольцевой наконечник M5
;;;Тип струмовивіду;Кольцевой наконечник M8
;;;Тип струмовивіду;Кольцевой наконечник М6
;;;Тип струмовивіду;До проводів
;;;Тип струмовивіду;Мідна гвинтова М5
;;;Тип струмовивіду;Мідна гвинтова М6
;;;Тип струмовивіду;Медная винтовая М8
;;;Тип струмовивіду;Т11
;;;Тип струмовивіду;Т14
;;;Напруга (В);Введіть число. Число повинно бути від 0 до 2000
;;;Струм заряду (А);Введіть число. Число повинно бути від 0 до 1000
;;;Кількість сурми (%);Введіть число. Число повинно бути від 0 до 20
;;;Матеріал виготовлення корпусу;Натуральне дерево
;;;Матеріал виготовлення корпусу;Метал
;;;Матеріал виготовлення корпусу;Сталь
;;;Матеріал виготовлення корпусу;Поліпропілен
;;;Матеріал виготовлення корпусу;Поліетилен
;;;Матеріал виготовлення корпусу;Ебоніт
;;;Матеріал виготовлення корпусу;Пластик ABS
;;;Матеріал виготовлення корпусу;Стеклотекстолит
;;;Матеріал виготовлення корпусу;Стирол-акрилонітрил
;;;Колір корпусу;Антрацит
;;;Колір корпусу;Бежевий
;;;Колір корпусу;Білий
;;;Колір корпусу;Бірюзовий
;;;Колір корпусу;Блакитний
;;;Колір корпусу;Інший
;;;Колір корпусу;Жовтий
;;;Колір корпусу;Зелений
;;;Колір корпусу;Коричневий
;;;Колір корпусу;Червоний
;;;Колір корпусу;Кремовий
;;;Колір корпусу;Малиновий
;;;Колір корпусу;Мідний
;;;Колір корпусу;Нержавіюча сталь
;;;Колір корпусу;Оливковий
;;;Колір корпусу;Помаранчевий
;;;Колір корпусу;Персиковий
;;;Колір корпусу;Прозорий
;;;Колір корпусу;Рожевий
;;;Колір корпусу;Салатовий
;;;Колір корпусу;Світло-сірий
;;;Колір корпусу;Сріблястий
;;;Колір корпусу;Срібний
;;;Колір корпусу;Сірий
;;;Колір корпусу;Синій
;;;Колір корпусу;Бузковий
;;;Колір корпусу;Слонова кістка
;;;Колір корпусу;Фіолетовий
;;;Колір корпусу;Фісташковий
;;;Колір корпусу;Чорний
;;;Матеріал решітки пластини;Свинець-сурма
;;;Матеріал решітки пластини;Сурма
;;;Активний матеріал негативних пластин;Губчастий свинець
;;;Активний матеріал негативних пластин;Двоокис свинцю
;;;Активний матеріал позитивних пластин;Губчастий свинець
;;;Активний матеріал позитивних пластин;Двоокис свинцю
;;;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -50 до 0
;;;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
;;;Особливості;Наявність Bluetooth
;;;Особливості;Бездротова зарядка
;;;Довжина (мм);Введіть число. Число повинно бути від 0 до 2000
;;;Висота (мм);Введіть число. Число повинно бути від 0 до 2500
;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 1100
;;;Вага (кг);Введіть число. Число повинно бути від 0 до 300
