№;Линк категории поставщика;coefficient
1;https://viatec.ua/catalog/cameras/0:0;"1,2"
2;https://viatec.ua/catalog/ptz/0:0;"1,2"
3;https://viatec.ua/catalog/termal-cameras/0:0;"1,25"
4;https://viatec.ua/catalog/termal-ptz/0:0;"1,25"
5;https://viatec.ua/catalog/solution-traffic/0:0;"1,25"
6;https://viatec.ua/catalog/solution-mobile/0:0;"1,25"
7;"https://viatec.ua/catalog/dvr/0:0;proizvoditel:dahua,hikvision,safetyeye,1317";"1,2"
8;https://viatec.ua/catalog/komplekti-videonabludenia/0:0;"1,2"
9;https://viatec.ua/catalog/hdd/0:0;"1,2"
10;https://viatec.ua/catalog/bracket/0:0;"1,25"
11;https://viatec.ua/catalog/microphone/0:0;"1,25"
12;https://viatec.ua/catalog/keyboard/0:0;"1,25"
13;https://viatec.ua/catalog/CCTV-IR/0:0;"1,25"
14;"https://viatec.ua/catalog/vth/0:0;proizvoditel:dahua,hikvision,394,395,neolight,1199,bcom,dnake";"1,2"
15;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:hikvision,ezviz,neolight,1199,dnake,bcom";"1,2"
16;"https://viatec.ua/catalog/vto/0:0;proizvoditel:dahua,hikvision,ezviz,neolight,1199,safetyeye,dnake,light-vision,emos";"1,2"
17;https://viatec.ua/catalog/intercom/0:0;"1,2"
18;https://viatec.ua/catalog/intercom-accessories/0:0;"1,2"
19;https://viatec.ua/catalog/termal-handheld/0:0;"1,25"
20;https://viatec.ua/catalog/pricili/0:0;"1,25"
21;https://viatec.ua/catalog/aksesuari-dlia-pnb/0:0;"1,25"
22;https://viatec.ua/catalog/pribori-nichnogo-bachennia/0:0;"1,25"
23;https://viatec.ua/catalog/radiostancii/0:0;"1,25"
24;https://viatec.ua/catalog/kvadrokopteri/0:0;"1,25"
25;https://viatec.ua/catalog/akumuliatori-droniv/0:0;"1,25"
26;"https://viatec.ua/catalog/alarm-ppk/0:0;proizvoditel:dahua";"1,2"
27;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:dahua";"1,2"
28;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua";"1,2"
29;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:dahua";"1,2"
30;"https://viatec.ua/catalog/alarm-ppk/0:0;proizvoditel:hikvision";"1,2"
31;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:hikvision";"1,2"
32;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:hikvision";"1,2"
33;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:hikvision";"1,2"
34;https://viatec.ua/catalog/access-control-lock/0:0;"1,25"
35;https://viatec.ua/catalog/access-turnstile/0:0;"1,25"
36;https://viatec.ua/catalog/access-terminal/0:0;"1,2"
37;https://viatec.ua/catalog/access-control-button/0:0;"1,25"
38;https://viatec.ua/catalog/access-reader/0:0;"1,2"
39;https://viatec.ua/catalog/access-controller/0:0;"1,25"
40;https://viatec.ua/catalog/access-accessories/0:0;"1,25"
41;https://viatec.ua/catalog/switches/0:0;"1,2"
42;https://viatec.ua/catalog/network-injectors/0:0;"1,25"
43;https://viatec.ua/catalog/network-routers/0:0;"1,25"
44;https://viatec.ua/catalog/network-ap/0:0;"1,25"
45;"https://viatec.ua/catalog/for-home/0:0;proizvoditel:imou,meross";"1,25"
46;https://viatec.ua/catalog/istochniki-bespereboinogo-pitania-12-24v/0:0;"1,25"
47;https://viatec.ua/catalog/istochniki-bespereboinogo-pitania-220v/0:0;"1,25"
48;https://viatec.ua/catalog/equipment-power-supply/0:0;"1,25"
49;https://viatec.ua/catalog/equipment-batteries/0:0;"1,25"
50;https://viatec.ua/catalog/litievi-akumuliatori/0:0;"1,25"
51;https://viatec.ua/catalog/invertori/0:0;"1,2"
52;https://viatec.ua/catalog/sistemi-nakopichennia-energii/0:0;"1,2"
53;https://viatec.ua/catalog/avtonomni-sistemi-zhivlennia/0:0;"1,2"
54;https://viatec.ua/catalog/zariadnie-ustroistva/0:0;"1,2"
55;"https://viatec.ua/catalog/equipment-cable/0:0;80:307,845,849";"1,2"
56;https://viatec.ua/catalog/boksi-montazhni/0:0;"1,25"
